OverallRating,SeatType,DateFlown,SeatComfort,CabinStaffService,GroundService,ValueForMoney,Recommended,Aircraft
3,Economy Class,23-Nov,2,3,1,2,no,A320
8,Business Class,23-Nov,3,3,4,3,yes,A320
1,Economy Class,23-Sep,1,1,1,1,no,A320
8,Premium Economy,23-Nov,5,5,4,4,yes,Boeing 777-300
7,Economy Class,23-Nov,3,3,3,3,yes,A320
2,Economy Class,23-Nov,4,5,3,5,yes,Boeing 777
8,Business Class,23-Nov,3,3,4,3,yes,A320
6,Economy Class,23-Oct,3,1,3,2,no,A320
7,Economy Class,23-Oct,3,5,5,2,yes,A321 neo
8,Economy Class,23-Oct,4,5,4,4,yes,A320
4,Economy Class,23-Oct,3,2,2,3,no,A380-800
1,Economy Class,23-Oct,1,2,1,2,no,A320
5,Business Class,23-Sep,4,5,1,4,no,A320
3,Economy Class,23-Oct,2,4,1,4,no,A320-232
5,Business Class,23-Oct,3,4,3,2,no,A320
1,Economy Class,23-Oct,1,1,1,1,no,A320
1,Economy Class,23-Oct,3,1,1,1,no,A321
1,Economy Class,23-Oct,1,1,1,1,no,Boeing 787
10,First Class,23-Oct,5,5,5,5,yes,Boeing 777
1,Business Class,23-Aug,1,1,1,1,no,BA366
2,Economy Class,23-Oct,2,3,2,2,no,A380
2,Business Class,23-Sep,2,1,1,1,no,A320
2,Business Class,23-Sep,2,3,1,1,no,A320
3,Economy Class,23-Oct,4,4,1,1,no,A320
4,First Class,23-Sep,1,4,3,2,no,777-300 and A320
1,Business Class,23-Sep,2,1,1,1,no,A321
1,Premium Economy,23-Aug,2,2,1,1,no,A350
6,Business Class,23-Sep,3,4,4,4,yes,A320
8,Business Class,23-Sep,3,5,2,5,yes,Boeing 787
1,Business Class,23-Sep,,,1,1,no,A320
1,Economy Class,23-Sep,1,3,1,1,no,A320
8,Business Class,23-Aug,3,4,4,4,yes,A321
8,Business Class,23-Aug,4,3,4,4,yes,Boeing 777-200
1,Business Class,23-Sep,1,1,3,1,no,A380
1,Economy Class,23-Aug,1,1,1,1,no,Boeing 777
1,Business Class,23-Aug,1,1,1,1,no,A320
1,Business Class,23-Aug,1,3,1,1,no,A320
3,Business Class,23-Aug,2,2,1,2,no,A320
8,Business Class,23-Aug,4,5,5,4,yes,Boeing 777-300
4,Business Class,23-Jul,3,3,3,1,yes,A320neo
7,Economy Class,23-Aug,4,5,1,4,yes,A380
8,Business Class,23-Aug,4,5,4,4,yes,A380
10,Economy Class,23-Jul,4,4,5,5,yes,Embraer-190
1,Economy Class,23-Jul,3,5,1,1,no,A380 / A320
1,Economy Class,23-Aug,3,3,1,1,no,Embraer
10,Business Class,23-Jul,5,5,5,5,yes,Boeing 777
9,Business Class,23-Jul,4,5,4,4,yes,Boeing 787-8
6,Business Class,23-Jul,3,5,2,3,yes,A320
4,Economy Class,23-Jul,3,4,1,2,no,E190
8,Business Class,23-Jun,3,5,5,3,no,A320
2,Economy Class,23-Jun,2,2,3,3,no,Boeing 787
2,Economy Class,23-Jun,1,1,1,1,no,A320
